====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 3500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 11518 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2257.85E-05  3769.64E-04  
400010.E-03  2418.45E-05  3624.65E-04  
600010.E-03  2455.29E-05  4425.25E-04  
800010.E-03  2497.68E-05  4166.09E-04  
100001.E-02  2556.44E-05  4382.21E-04  
120001.E-02  2575.66E-05  4475.07E-04  
140001.E-02  2618.25E-05  4783.90E-04  
160001.E-02  2668.55E-05  4503.58E-04  
180001.E-02  2712.49E-05  5010.63E-04  
200001.E-02  2759.64E-05  4747.35E-04  
220001.E-02  2826.30E-05  4798.01E-04  
240001.E-02  2864.89E-05  4934.45E-04  
260001.E-02  2920.29E-05  5227.20E-04  
280001.E-02  2957.28E-05  5527.18E-04  
300001.E-02  2989.71E-05  5613.38E-04  
320001.E-02  3036.26E-05  5914.02E-04  
340001.E-02  3109.68E-05  5529.47E-04  
360001.E-02  3173.79E-05  5856.68E-04  
380001.E-02  3223.74E-05  6017.22E-04  
400001.E-02  3277.09E-05  6476.08E-04  
420001.E-02  3367.28E-05  6498.97E-04  
440001.E-02  3371.33E-05  6659.03E-04  
460001.E-02  3432.24E-05  6642.17E-04  
480001.E-02  3498.71E-05  6791.29E-04  
500001.E-02  3523.88E-05  6908.99E-04  
520001.E-02  3592.95E-05  7858.11E-04  
540001.E-02  3541.35E-05  7724.73E-04  
560001.E-02  3481.44E-05  7536.06E-04  
580001.E-02  3500.56E-05  8211.67E-04  
600001.E-02  3493.75E-05  8507.82E-04  
620001.E-02  3540.95E-05  9028.69E-04  
640001.E-02  3599.61E-05  9038.18E-04  
660001.E-02  3685.09E-05  8981.06E-04  
680001.E-02  3738.29E-05  9197.22E-04  
700001.E-02  3858.86E-05  9716.48E-04  
720001.E-02  4014.36E-05  1047.06E-03  
740001.E-02  4163.56E-05  1089.76E-03  
760001.E-02  4257.80E-05  1122.89E-03  
780001.E-02  4292.53E-05  1144.51E-03  
800001.E-02  4465.75E-05  1134.09E-03  
820001.E-02  4560.64E-05  1173.44E-03  
840001.E-02  4657.79E-05  1236.37E-03  
860001.E-02  4802.53E-05  1297.36E-03  
880001.E-02  4852.88E-05  1256.86E-03  
900001.E-02  4892.47E-05  1280.98E-03  
920001.E-02  4950.32E-05  1290.94E-03  
940001.E-02  5051.12E-05  1324.17E-03  
960001.E-02  5049.32E-05  1300.77E-03  
980001.E-02  5115.89E-05  1305.68E-03  
100000.E-01  5126.15E-05  1321.63E-03  
102000.E-01  5113.73E-05  1341.52E-03  
104000.E-01  5145.06E-05  1358.47E-03  
106000.E-01  5038.86E-05  1302.85E-03  
108000.E-01  4843.92E-05  1231.88E-03  
110000.E-01  4608.84E-05  1179.71E-03  
112000.E-01  4591.82E-05  1117.42E-03  
114000.E-01  4375.66E-05  1057.73E-03  
116000.E-01  3990.84E-05  9920.50E-04  
118000.E-01  3721.17E-05  9194.89E-04  
120000.E-01  3379.89E-05  7786.98E-04  
122000.E-01  2958.78E-05  6923.56E-04  
124000.E-01  2551.78E-05  6034.43E-04  
126000.E-01  2287.68E-05  5139.10E-04  
128000.E-01  2048.54E-05  4653.36E-04  
130000.E-01  1712.26E-05  3733.22E-04  
132000.E-01  1372.33E-05  2980.79E-04  
134000.E-01  1043.57E-05  2232.55E-04  
136000.E-01  8288.91E-06  1670.02E-04  
138000.E-01  5703.30E-06  1140.27E-04  
140000.E-01  4150.47E-06  8627.01E-05  
142000.E-01  2711.35E-06  5424.06E-05  
144000.E-01  1753.51E-06  3189.56E-05  
146000.E-01  9840.18E-07  1763.14E-05  
148000.E-01  6470.10E-07  1246.18E-05  
150000.E-01  4210.05E-07  7344.62E-06  
152000.E-01  2430.01E-07  4778.08E-06  
154000.E-01  1080.00E-07  1726.05E-06  
156000.E-01  8649.99E-08  1014.55E-06  
158000.E-01  3000.00E-08  2616.64E-07  
160000.E-01  3400.00E-08  4040.61E-07  
162000.E-01  3150.00E-08  5556.74E-07  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
