====== Fe (3500) into Fe                        =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Fe   Energy = 3500 keV
============= TARGET MATERIAL ======================================
Layer  1 : Fe
Layer Width =     2.E+04 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 11489 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
200010.E-03  2252.19E-05  3662.22E-04  
400010.E-03  2424.81E-05  4060.74E-04  
600010.E-03  2479.16E-05  4407.29E-04  
800010.E-03  2493.48E-05  4526.38E-04  
100001.E-02  2526.46E-05  4076.38E-04  
120001.E-02  2597.73E-05  4386.33E-04  
140001.E-02  2626.21E-05  4495.99E-04  
160001.E-02  2662.09E-05  4735.60E-04  
180001.E-02  2703.73E-05  4437.75E-04  
200001.E-02  2757.33E-05  4456.12E-04  
220001.E-02  2796.52E-05  5512.38E-04  
240001.E-02  2848.37E-05  4724.15E-04  
260001.E-02  2919.79E-05  5247.43E-04  
280001.E-02  2965.69E-05  5616.02E-04  
300001.E-02  3008.88E-05  5562.75E-04  
320001.E-02  3055.52E-05  5485.66E-04  
340001.E-02  3118.19E-05  5717.40E-04  
360001.E-02  3153.32E-05  5403.39E-04  
380001.E-02  3266.68E-05  6073.70E-04  
400001.E-02  3278.84E-05  6456.21E-04  
420001.E-02  3330.79E-05  6540.53E-04  
440001.E-02  3389.50E-05  6299.00E-04  
460001.E-02  3447.61E-05  7116.69E-04  
480001.E-02  3486.80E-05  6805.92E-04  
500001.E-02  3540.55E-05  6928.49E-04  
520001.E-02  3558.27E-05  7388.66E-04  
540001.E-02  3552.86E-05  7688.98E-04  
560001.E-02  3522.03E-05  8069.08E-04  
580001.E-02  3513.02E-05  8308.09E-04  
600001.E-02  3458.27E-05  7955.75E-04  
620001.E-02  3536.49E-05  8920.62E-04  
640001.E-02  3610.42E-05  9067.53E-04  
660001.E-02  3707.16E-05  9750.25E-04  
680001.E-02  3830.78E-05  9967.14E-04  
700001.E-02  3906.66E-05  9882.74E-04  
720001.E-02  4050.55E-05  1035.71E-03  
740001.E-02  4054.20E-05  1027.23E-03  
760001.E-02  4145.69E-05  1037.34E-03  
780001.E-02  4232.62E-05  1111.88E-03  
800001.E-02  4365.20E-05  1115.83E-03  
820001.E-02  4436.07E-05  1164.37E-03  
840001.E-02  4549.73E-05  1165.17E-03  
860001.E-02  4825.70E-05  1223.97E-03  
880001.E-02  4818.95E-05  1281.02E-03  
900001.E-02  4949.37E-05  1301.59E-03  
920001.E-02  5090.06E-05  1300.90E-03  
940001.E-02  5148.97E-05  1342.35E-03  
960001.E-02  5072.44E-05  1346.21E-03  
980001.E-02  5094.11E-05  1337.85E-03  
100000.E-01  5202.32E-05  1371.23E-03  
102000.E-01  5102.32E-05  1297.21E-03  
104000.E-01  5018.59E-05  1279.23E-03  
106000.E-01  5047.22E-05  1284.06E-03  
108000.E-01  4906.48E-05  1257.44E-03  
110000.E-01  4613.75E-05  1155.43E-03  
112000.E-01  4451.84E-05  1097.22E-03  
114000.E-01  4280.82E-05  1079.87E-03  
116000.E-01  4060.76E-05  9807.08E-04  
118000.E-01  3736.04E-05  9260.73E-04  
120000.E-01  3413.97E-05  8185.61E-04  
122000.E-01  3005.93E-05  7032.53E-04  
124000.E-01  2724.40E-05  6310.46E-04  
126000.E-01  2399.99E-05  5370.67E-04  
128000.E-01  1977.42E-05  4574.62E-04  
130000.E-01  1619.17E-05  3547.95E-04  
132000.E-01  1332.59E-05  2912.56E-04  
134000.E-01  1080.85E-05  2369.64E-04  
136000.E-01  8693.19E-06  1882.39E-04  
138000.E-01  5861.83E-06  1169.09E-04  
140000.E-01  4012.44E-06  8183.87E-05  
142000.E-01  2904.31E-06  5220.29E-05  
144000.E-01  1695.02E-06  3177.88E-05  
146000.E-01  1107.02E-06  2037.10E-05  
148000.E-01  6335.10E-07  1193.69E-05  
150000.E-01  2400.01E-07  4488.52E-06  
152000.E-01  2635.01E-07  4030.55E-06  
154000.E-01  9349.99E-08  1846.52E-06  
156000.E-01  9199.99E-08  2223.58E-06  
158000.E-01  9500.00E-09  3381.57E-07  
160000.E-01  0000.00E+00  0000.00E+00  
162000.E-01  0000.00E+00  0000.00E+00  
164000.E-01  0000.00E+00  0000.00E+00  
166000.E-01  0000.00E+00  0000.00E+00  
168000.E-01  0000.00E+00  0000.00E+00  
170000.E-01  0000.00E+00  0000.00E+00  
172000.E-01  0000.00E+00  0000.00E+00  
174000.E-01  0000.00E+00  0000.00E+00  
176000.E-01  0000.00E+00  0000.00E+00  
178000.E-01  0000.00E+00  0000.00E+00  
180000.E-01  0000.00E+00  0000.00E+00  
182000.E-01  0000.00E+00  0000.00E+00  
184000.E-01  0000.00E+00  0000.00E+00  
186000.E-01  0000.00E+00  0000.00E+00  
188000.E-01  0000.00E+00  0000.00E+00  
190000.E-01  0000.00E+00  0000.00E+00  
192000.E-01  0000.00E+00  0000.00E+00  
194000.E-01  0000.00E+00  0000.00E+00  
196000.E-01  0000.00E+00  0000.00E+00  
198000.E-01  0000.00E+00  0000.00E+00  
200000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
